event,lambda_track_id,lambda_start_x_cm,lambda_start_y_cm,lambda_start_z_cm,lambda_decay_x_cm,lambda_decay_y_cm,lambda_decay_z_cm,lambda_decay_inside_active,charged_p_pi_mode,charged_daughter_start_inside,charged_daughter_end_inside,daughter_pdgs
82,717,-58.1555,-0.774266,180.359,-60.1703,5.63451,184.481,yes,yes,yes,yes,2212;-211
83,2,7.42123,-14.5381,128.693,7.1302,-14.5836,128.765,yes,yes,yes,yes,2212;-211
84,2,1.33029,29.6651,3.57826,7.95673,38.5769,8.92723,yes,no,n/a,n/a,2112;111;1000180400
85,2,-71.1957,19.9483,218.167,-75.3618,20.157,220.431,yes,no,n/a,n/a,2112;111
86,2,-36.644,-16.3719,-152.119,-31.5152,-26.8888,-149.166,yes,yes,yes,yes,2212;-211
87,2,-13.1769,57.5718,-26.3643,-11.9478,58.007,-25.1906,yes,no,n/a,n/a,2112;111
88,2,-53.9107,-23.2152,219.889,-32.9317,-23.7506,232.392,yes,no,n/a,n/a,2112;111
89,2,-19.8238,-47.178,313.76,-19.8684,-47.5537,314.392,yes,yes,yes,yes,2212;-211
90,2,-4.08905,60.762,-231.723,-3.6127,61.7268,-230.328,yes,yes,yes,yes,2212;-211
91,2,-62.9968,-12.8849,-352.345,-61.8005,-13.8627,-352.252,yes,yes,yes,yes,2212;-211
92,2,-31.451,9.8199,39.6402,-31.077,9.30454,40.3709,yes,yes,yes,yes,2212;-211
93,2,19.3038,26.7554,-254.485,10.7454,31.6961,-251.653,yes,no,n/a,n/a,1000180390;22;22;3122;2112
93,5,10.7454,31.6961,-251.653,9.7545,31.6503,-251.024,yes,no,n/a,n/a,1000170370;22;2112;22;3122;2112;2212
93,42,9.7545,31.6503,-251.024,11.4476,32.2974,-254.026,yes,yes,yes,yes,2212;-211
94,2,0.68062,-16.268,-311.091,10.7574,-24.4921,-305.261,yes,yes,yes,yes,2212;-211
95,2,-25.9494,-39.2098,-182.525,-23.9469,-37.8884,-180.151,yes,no,n/a,n/a,2112;111
96,2,15.3391,-50.3929,-178.022,29.4419,-52.3748,-166.724,yes,no,n/a,n/a,2112;111
97,2,-4.03663,2.98222,86.109,-3.49541,1.15926,89.3615,yes,no,n/a,n/a,2112;111
98,2,65.3344,-54.1955,272.193,74.9214,-58.6734,282.2,yes,yes,yes,yes,2212;-211
99,2,68.9587,53.5986,-115.246,75.224,60.1121,-106.302,yes,no,n/a,n/a,2112;111
